ABC,ABCGG,SpAbs_A,SpAD_A,LogEE_A,target
26.85812714,19.1738072,46.15868438,46.15868438,4.469845144,1
25.66269318,18.19196373,42.92159344,42.92159344,4.416000384,1
26.92707683,18.63835515,45.37406401,45.37406401,4.463493638,1
28.2723407,19.15317792,48.14403944,48.14403944,4.512237733,1
29.68655427,19.736978,50.73839667,50.73839667,4.561058156,1
27.56523392,19.45973155,47.26192317,47.26192317,4.495609547,1
26.36979996,18.48320641,44.02434601,44.02434601,4.4431709,1
27.63418361,18.92542679,46.47720939,46.47720939,4.489420095,1
28.97944748,19.43445837,49.24683533,49.24683533,4.536945844,1
34.19276277,27.56657741,57.2648649,57.2648649,4.713574944,1
33.48565599,27.21520665,56.16002123,56.16002123,4.692908959,1
17.8802874,16.64699506,27.65603051,27.65603051,4.062976886,1
17.73045749,17.16204648,27.2436341,27.2436341,4.06490074,1
12.96328069,12.24825346,21.17496785,21.17496785,3.761773333,0
23.55990948,18.55157496,36.64083169,36.64083169,4.328214226,1
12.22766434,11.09434241,19.90647845,19.90647845,3.699426588,0
16.79847442,13.92276584,27.20469438,27.20469438,3.996891621,1
35.55025757,22.87884186,59.87173102,59.87173102,4.738468743,1
17.10121411,14.79274123,25.94436555,25.94436555,4.010865353,0
23.13019983,19.6868521,34.2431552,34.2431552,4.307814207,1
16.93637379,15.81476776,27.05925367,27.05925367,4.015136458,1
16.05092753,15.43967939,25.68934248,25.68934248,3.970771529,1
14.68748195,12.78631672,25.04623625,25.04623625,3.889603649,0
16.26846368,14.60994083,25.02448101,25.02448101,3.96598444,1
17.07995255,12.82787585,27.52801153,27.52801153,4.011345302,1
23.43198304,16.35953547,39.48634674,39.48634674,4.326946519,0
22.72487625,16.67061774,38.05560963,38.05560963,4.296365967,0
30.10495971,26.8424804,46.18596158,46.18596158,4.599081655,1
39.2117603,32.27915013,65.84732871,65.84732871,4.857273999,1
14.48688405,13.13178978,23.11031408,23.11031408,3.865138389,0
15.23443095,13.57960073,24.44990327,24.44990327,3.911610796,0
11.45160787,10.33120554,18.93428268,18.93428268,3.635415325,0
40.53476577,30.8532043,65.23382963,65.23382963,4.870160135,1
13.0037208,11.80589861,21.16301285,21.16301285,3.759502977,1
17.9249587,14.3972744,30.33526815,30.33526815,4.073880403,0
37.61956649,28.76681815,60.39404348,60.39404348,4.791830784,1
42.52887384,31.34318847,68.79532988,68.79532988,4.913842122,1
41.11466028,30.3954304,66.01380795,66.01380795,4.879816039,1
17.88451859,13.96412429,29.4686232,29.4686232,4.060782596,1
40.81346091,32.3184822,66.03488268,66.03488268,4.877584963,0
14.56776428,13.58017307,23.88073245,23.88073245,3.874423218,1
14.894331,13.33635888,24.63133928,24.63133928,3.898835783,1
